,cname,ccode,icode,year,gdp
56,Djibouti,DJI,NY.GDP.MKTP.KD.ZG,1960,
57,Dominica,DMA,NY.GDP.MKTP.KD.ZG,1960,
58,Denmark,DNK,NY.GDP.MKTP.KD.ZG,1960,
59,Dominican Republic,DOM,NY.GDP.MKTP.KD.ZG,1960,
60,Algeria,DZA,NY.GDP.MKTP.KD.ZG,1960,
61,East Asia & Pacific (excluding high income),EAP,NY.GDP.MKTP.KD.ZG,1960,
62,Early-demographic dividend,EAR,NY.GDP.MKTP.KD.ZG,1960,
63,East Asia & Pacific,EAS,NY.GDP.MKTP.KD.ZG,1960,
64,Europe & Central Asia (excluding high income),ECA,NY.GDP.MKTP.KD.ZG,1960,
65,Europe & Central Asia,ECS,NY.GDP.MKTP.KD.ZG,1960,
66,Ecuador,ECU,NY.GDP.MKTP.KD.ZG,1960,
67,"Egypt, Arab Rep.",EGY,NY.GDP.MKTP.KD.ZG,1960,
68,Euro area,EMU,NY.GDP.MKTP.KD.ZG,1960,
69,Eritrea,ERI,NY.GDP.MKTP.KD.ZG,1960,
70,Spain,ESP,NY.GDP.MKTP.KD.ZG,1960,
71,Estonia,EST,NY.GDP.MKTP.KD.ZG,1960,
72,Ethiopia,ETH,NY.GDP.MKTP.KD.ZG,1960,
73,European Union,EUU,NY.GDP.MKTP.KD.ZG,1960,
74,Fragile and conflict affected situations,FCS,NY.GDP.MKTP.KD.ZG,1960,
75,Finland,FIN,NY.GDP.MKTP.KD.ZG,1960,
76,Fiji,FJI,NY.GDP.MKTP.KD.ZG,1960,
77,France,FRA,NY.GDP.MKTP.KD.ZG,1960,
78,Faroe Islands,FRO,NY.GDP.MKTP.KD.ZG,1960,
79,"Micronesia, Fed. Sts.",FSM,NY.GDP.MKTP.KD.ZG,1960,
80,Gabon,GAB,NY.GDP.MKTP.KD.ZG,1960,
81,United Kingdom,GBR,NY.GDP.MKTP.KD.ZG,1960,
82,Georgia,GEO,NY.GDP.MKTP.KD.ZG,1960,
83,Ghana,GHA,NY.GDP.MKTP.KD.ZG,1960,
84,Gibraltar,GIB,NY.GDP.MKTP.KD.ZG,1960,
85,Guinea,GIN,NY.GDP.MKTP.KD.ZG,1960,
86,"Gambia, The",GMB,NY.GDP.MKTP.KD.ZG,1960,
87,Guinea-Bissau,GNB,NY.GDP.MKTP.KD.ZG,1960,
88,Equatorial Guinea,GNQ,NY.GDP.MKTP.KD.ZG,1960,
89,Greece,GRC,NY.GDP.MKTP.KD.ZG,1960,
90,Grenada,GRD,NY.GDP.MKTP.KD.ZG,1960,
91,Greenland,GRL,NY.GDP.MKTP.KD.ZG,1960,
92,Guatemala,GTM,NY.GDP.MKTP.KD.ZG,1960,
93,Guam,GUM,NY.GDP.MKTP.KD.ZG,1960,
94,Guyana,GUY,NY.GDP.MKTP.KD.ZG,1960,
95,High income,HIC,NY.GDP.MKTP.KD.ZG,1960,
96,"Hong Kong SAR, China",HKG,NY.GDP.MKTP.KD.ZG,1960,
97,Honduras,HND,NY.GDP.MKTP.KD.ZG,1960,
98,Heavily indebted poor countries (HIPC),HPC,NY.GDP.MKTP.KD.ZG,1960,
99,Croatia,HRV,NY.GDP.MKTP.KD.ZG,1960,
100,Haiti,HTI,NY.GDP.MKTP.KD.ZG,1960,
101,Hungary,HUN,NY.GDP.MKTP.KD.ZG,1960,
102,IBRD only,IBD,NY.GDP.MKTP.KD.ZG,1960,
103,IDA & IBRD total,IBT,NY.GDP.MKTP.KD.ZG,1960,
104,IDA total,IDA,NY.GDP.MKTP.KD.ZG,1960,
105,IDA blend,IDB,NY.GDP.MKTP.KD.ZG,1960,
106,Indonesia,IDN,NY.GDP.MKTP.KD.ZG,1960,
107,IDA only,IDX,NY.GDP.MKTP.KD.ZG,1960,
108,Isle of Man,IMN,NY.GDP.MKTP.KD.ZG,1960,
109,India,IND,NY.GDP.MKTP.KD.ZG,1960,
110,Not classified,INX,NY.GDP.MKTP.KD.ZG,1960,
111,Ireland,IRL,NY.GDP.MKTP.KD.ZG,1960,
112,"Iran, Islamic Rep.",IRN,NY.GDP.MKTP.KD.ZG,1960,
113,Iraq,IRQ,NY.GDP.MKTP.KD.ZG,1960,
114,Iceland,ISL,NY.GDP.MKTP.KD.ZG,1960,
115,Israel,ISR,NY.GDP.MKTP.KD.ZG,1960,
116,Italy,ITA,NY.GDP.MKTP.KD.ZG,1960,
117,Jamaica,JAM,NY.GDP.MKTP.KD.ZG,1960,
118,Jordan,JOR,NY.GDP.MKTP.KD.ZG,1960,
119,Japan,JPN,NY.GDP.MKTP.KD.ZG,1960,
120,Kazakhstan,KAZ,NY.GDP.MKTP.KD.ZG,1960,
121,Kenya,KEN,NY.GDP.MKTP.KD.ZG,1960,
122,Kyrgyz Republic,KGZ,NY.GDP.MKTP.KD.ZG,1960,
123,Cambodia,KHM,NY.GDP.MKTP.KD.ZG,1960,
124,Kiribati,KIR,NY.GDP.MKTP.KD.ZG,1960,
125,St. Kitts and Nevis,KNA,NY.GDP.MKTP.KD.ZG,1960,
126,"Korea, Rep.",KOR,NY.GDP.MKTP.KD.ZG,1960,
127,Kuwait,KWT,NY.GDP.MKTP.KD.ZG,1960,
128,Latin America & Caribbean (excluding high income),LAC,NY.GDP.MKTP.KD.ZG,1960,
129,Lao PDR,LAO,NY.GDP.MKTP.KD.ZG,1960,
130,Lebanon,LBN,NY.GDP.MKTP.KD.ZG,1960,
131,Liberia,LBR,NY.GDP.MKTP.KD.ZG,1960,
132,Libya,LBY,NY.GDP.MKTP.KD.ZG,1960,
133,St. Lucia,LCA,NY.GDP.MKTP.KD.ZG,1960,
134,Latin America & Caribbean,LCN,NY.GDP.MKTP.KD.ZG,1960,
135,Least developed countries: UN classification,LDC,NY.GDP.MKTP.KD.ZG,1960,
136,Low income,LIC,NY.GDP.MKTP.KD.ZG,1960,
137,Liechtenstein,LIE,NY.GDP.MKTP.KD.ZG,1960,
138,Sri Lanka,LKA,NY.GDP.MKTP.KD.ZG,1960,
139,Lower middle income,LMC,NY.GDP.MKTP.KD.ZG,1960,
140,Low & middle income,LMY,NY.GDP.MKTP.KD.ZG,1960,
141,Lesotho,LSO,NY.GDP.MKTP.KD.ZG,1960,
142,Late-demographic dividend,LTE,NY.GDP.MKTP.KD.ZG,1960,
143,Lithuania,LTU,NY.GDP.MKTP.KD.ZG,1960,
144,Luxembourg,LUX,NY.GDP.MKTP.KD.ZG,1960,
145,Latvia,LVA,NY.GDP.MKTP.KD.ZG,1960,
146,"Macao SAR, China",MAC,NY.GDP.MKTP.KD.ZG,1960,
147,St. Martin (French part),MAF,NY.GDP.MKTP.KD.ZG,1960,
148,Morocco,MAR,NY.GDP.MKTP.KD.ZG,1960,
149,Monaco,MCO,NY.GDP.MKTP.KD.ZG,1960,
150,Moldova,MDA,NY.GDP.MKTP.KD.ZG,1960,
151,Madagascar,MDG,NY.GDP.MKTP.KD.ZG,1960,
152,Maldives,MDV,NY.GDP.MKTP.KD.ZG,1960,
153,Middle East & North Africa,MEA,NY.GDP.MKTP.KD.ZG,1960,
154,Mexico,MEX,NY.GDP.MKTP.KD.ZG,1960,
155,Marshall Islands,MHL,NY.GDP.MKTP.KD.ZG,1960,
156,Middle income,MIC,NY.GDP.MKTP.KD.ZG,1960,
157,North Macedonia,MKD,NY.GDP.MKTP.KD.ZG,1960,
158,Mali,MLI,NY.GDP.MKTP.KD.ZG,1960,
159,Malta,MLT,NY.GDP.MKTP.KD.ZG,1960,
160,Myanmar,MMR,NY.GDP.MKTP.KD.ZG,1960,
161,Middle East & North Africa (excluding high income),MNA,NY.GDP.MKTP.KD.ZG,1960,
162,Montenegro,MNE,NY.GDP.MKTP.KD.ZG,1960,
163,Mongolia,MNG,NY.GDP.MKTP.KD.ZG,1960,
164,Northern Mariana Islands,MNP,NY.GDP.MKTP.KD.ZG,1960,
165,Mozambique,MOZ,NY.GDP.MKTP.KD.ZG,1960,
166,Mauritania,MRT,NY.GDP.MKTP.KD.ZG,1960,
167,Mauritius,MUS,NY.GDP.MKTP.KD.ZG,1960,
168,Malawi,MWI,NY.GDP.MKTP.KD.ZG,1960,
169,Malaysia,MYS,NY.GDP.MKTP.KD.ZG,1960,
170,North America,NAC,NY.GDP.MKTP.KD.ZG,1960,
171,Namibia,NAM,NY.GDP.MKTP.KD.ZG,1960,
172,New Caledonia,NCL,NY.GDP.MKTP.KD.ZG,1960,
173,Niger,NER,NY.GDP.MKTP.KD.ZG,1960,
174,Nigeria,NGA,NY.GDP.MKTP.KD.ZG,1960,
175,Nicaragua,NIC,NY.GDP.MKTP.KD.ZG,1960,
176,Netherlands,NLD,NY.GDP.MKTP.KD.ZG,1960,
177,Norway,NOR,NY.GDP.MKTP.KD.ZG,1960,
178,Nepal,NPL,NY.GDP.MKTP.KD.ZG,1960,
179,Nauru,NRU,NY.GDP.MKTP.KD.ZG,1960,
180,New Zealand,NZL,NY.GDP.MKTP.KD.ZG,1960,
181,OECD members,OED,NY.GDP.MKTP.KD.ZG,1960,
182,Oman,OMN,NY.GDP.MKTP.KD.ZG,1960,
183,Other small states,OSS,NY.GDP.MKTP.KD.ZG,1960,
184,Pakistan,PAK,NY.GDP.MKTP.KD.ZG,1960,
185,Panama,PAN,NY.GDP.MKTP.KD.ZG,1960,
186,Peru,PER,NY.GDP.MKTP.KD.ZG,1960,
187,Philippines,PHL,NY.GDP.MKTP.KD.ZG,1960,
188,Palau,PLW,NY.GDP.MKTP.KD.ZG,1960,
189,Papua New Guinea,PNG,NY.GDP.MKTP.KD.ZG,1960,
190,Poland,POL,NY.GDP.MKTP.KD.ZG,1960,
191,Pre-demographic dividend,PRE,NY.GDP.MKTP.KD.ZG,1960,
192,Puerto Rico,PRI,NY.GDP.MKTP.KD.ZG,1960,
193,"Korea, Dem. People's Rep.",PRK,NY.GDP.MKTP.KD.ZG,1960,
194,Portugal,PRT,NY.GDP.MKTP.KD.ZG,1960,
195,Paraguay,PRY,NY.GDP.MKTP.KD.ZG,1960,
196,West Bank and Gaza,PSE,NY.GDP.MKTP.KD.ZG,1960,
197,Pacific island small states,PSS,NY.GDP.MKTP.KD.ZG,1960,
198,Post-demographic dividend,PST,NY.GDP.MKTP.KD.ZG,1960,
199,French Polynesia,PYF,NY.GDP.MKTP.KD.ZG,1960,
200,Qatar,QAT,NY.GDP.MKTP.KD.ZG,1960,
201,Romania,ROU,NY.GDP.MKTP.KD.ZG,1960,
202,Russian Federation,RUS,NY.GDP.MKTP.KD.ZG,1960,
203,Rwanda,RWA,NY.GDP.MKTP.KD.ZG,1960,
204,South Asia,SAS,NY.GDP.MKTP.KD.ZG,1960,
205,Saudi Arabia,SAU,NY.GDP.MKTP.KD.ZG,1960,
206,Sudan,SDN,NY.GDP.MKTP.KD.ZG,1960,
207,Senegal,SEN,NY.GDP.MKTP.KD.ZG,1960,
208,Singapore,SGP,NY.GDP.MKTP.KD.ZG,1960,
209,Solomon Islands,SLB,NY.GDP.MKTP.KD.ZG,1960,
210,Sierra Leone,SLE,NY.GDP.MKTP.KD.ZG,1960,
211,El Salvador,SLV,NY.GDP.MKTP.KD.ZG,1960,
212,San Marino,SMR,NY.GDP.MKTP.KD.ZG,1960,
213,Somalia,SOM,NY.GDP.MKTP.KD.ZG,1960,
214,Serbia,SRB,NY.GDP.MKTP.KD.ZG,1960,
215,Sub-Saharan Africa (excluding high income),SSA,NY.GDP.MKTP.KD.ZG,1960,
216,South Sudan,SSD,NY.GDP.MKTP.KD.ZG,1960,
217,Sub-Saharan Africa,SSF,NY.GDP.MKTP.KD.ZG,1960,
218,Small states,SST,NY.GDP.MKTP.KD.ZG,1960,
219,Sao Tome and Principe,STP,NY.GDP.MKTP.KD.ZG,1960,
220,Suriname,SUR,NY.GDP.MKTP.KD.ZG,1960,
221,Slovak Republic,SVK,NY.GDP.MKTP.KD.ZG,1960,
222,Slovenia,SVN,NY.GDP.MKTP.KD.ZG,1960,
223,Sweden,SWE,NY.GDP.MKTP.KD.ZG,1960,
224,Eswatini,SWZ,NY.GDP.MKTP.KD.ZG,1960,
225,Sint Maarten (Dutch part),SXM,NY.GDP.MKTP.KD.ZG,1960,
226,Seychelles,SYC,NY.GDP.MKTP.KD.ZG,1960,
227,Syrian Arab Republic,SYR,NY.GDP.MKTP.KD.ZG,1960,
228,Turks and Caicos Islands,TCA,NY.GDP.MKTP.KD.ZG,1960,
229,Chad,TCD,NY.GDP.MKTP.KD.ZG,1960,
230,East Asia & Pacific (IDA & IBRD countries),TEA,NY.GDP.MKTP.KD.ZG,1960,
231,Europe & Central Asia (IDA & IBRD countries),TEC,NY.GDP.MKTP.KD.ZG,1960,
232,Togo,TGO,NY.GDP.MKTP.KD.ZG,1960,
233,Thailand,THA,NY.GDP.MKTP.KD.ZG,1960,
234,Tajikistan,TJK,NY.GDP.MKTP.KD.ZG,1960,
235,Turkmenistan,TKM,NY.GDP.MKTP.KD.ZG,1960,
236,Latin America & the Caribbean (IDA & IBRD countries),TLA,NY.GDP.MKTP.KD.ZG,1960,
237,Timor-Leste,TLS,NY.GDP.MKTP.KD.ZG,1960,
238,Middle East & North Africa (IDA & IBRD countries),TMN,NY.GDP.MKTP.KD.ZG,1960,
239,Tonga,TON,NY.GDP.MKTP.KD.ZG,1960,
240,South Asia (IDA & IBRD),TSA,NY.GDP.MKTP.KD.ZG,1960,
241,Sub-Saharan Africa (IDA & IBRD countries),TSS,NY.GDP.MKTP.KD.ZG,1960,
242,Trinidad and Tobago,TTO,NY.GDP.MKTP.KD.ZG,1960,
243,Tunisia,TUN,NY.GDP.MKTP.KD.ZG,1960,
244,Turkiye,TUR,NY.GDP.MKTP.KD.ZG,1960,
245,Tuvalu,TUV,NY.GDP.MKTP.KD.ZG,1960,
246,Tanzania,TZA,NY.GDP.MKTP.KD.ZG,1960,
247,Uganda,UGA,NY.GDP.MKTP.KD.ZG,1960,
248,Ukraine,UKR,NY.GDP.MKTP.KD.ZG,1960,
249,Upper middle income,UMC,NY.GDP.MKTP.KD.ZG,1960,
250,Uruguay,URY,NY.GDP.MKTP.KD.ZG,1960,
251,United States,USA,NY.GDP.MKTP.KD.ZG,1960,
252,Uzbekistan,UZB,NY.GDP.MKTP.KD.ZG,1960,
253,St. Vincent and the Grenadines,VCT,NY.GDP.MKTP.KD.ZG,1960,
254,"Venezuela, RB",VEN,NY.GDP.MKTP.KD.ZG,1960,
255,British Virgin Islands,VGB,NY.GDP.MKTP.KD.ZG,1960,
256,Virgin Islands (U.S.),VIR,NY.GDP.MKTP.KD.ZG,1960,
257,Viet Nam,VNM,NY.GDP.MKTP.KD.ZG,1960,
258,Vanuatu,VUT,NY.GDP.MKTP.KD.ZG,1960,
259,World,WLD,NY.GDP.MKTP.KD.ZG,1960,
260,Samoa,WSM,NY.GDP.MKTP.KD.ZG,1960,
261,Kosovo,XKX,NY.GDP.MKTP.KD.ZG,1960,
262,"Yemen, Rep.",YEM,NY.GDP.MKTP.KD.ZG,1960,
263,South Africa,ZAF,NY.GDP.MKTP.KD.ZG,1960,
264,Zambia,ZMB,NY.GDP.MKTP.KD.ZG,1960,
265,Zimbabwe,ZWE,NY.GDP.MKTP.KD.ZG,1960,
266,Aruba,ABW,NY.GDP.MKTP.KD.ZG,1961,
267,Africa Eastern and Southern,AFE,NY.GDP.MKTP.KD.ZG,1961,0.460106039842898
268,Afghanistan,AFG,NY.GDP.MKTP.KD.ZG,1961,
269,Africa Western and Central,AFW,NY.GDP.MKTP.KD.ZG,1961,1.87345509634132
270,Angola,AGO,NY.GDP.MKTP.KD.ZG,1961,
271,Albania,ALB,NY.GDP.MKTP.KD.ZG,1961,
272,Andorra,AND,NY.GDP.MKTP.KD.ZG,1961,
273,Arab World,ARB,NY.GDP.MKTP.KD.ZG,1961,
274,United Arab Emirates,ARE,NY.GDP.MKTP.KD.ZG,1961,
275,Argentina,ARG,NY.GDP.MKTP.KD.ZG,1961,5.42784287621933
276,Armenia,ARM,NY.GDP.MKTP.KD.ZG,1961,
277,American Samoa,ASM,NY.GDP.MKTP.KD.ZG,1961,
278,Antigua and Barbuda,ATG,NY.GDP.MKTP.KD.ZG,1961,
279,Australia,AUS,NY.GDP.MKTP.KD.ZG,1961,2.48261834811161
280,Austria,AUT,NY.GDP.MKTP.KD.ZG,1961,5.53797931684517
281,Azerbaijan,AZE,NY.GDP.MKTP.KD.ZG,1961,
282,Burundi,BDI,NY.GDP.MKTP.KD.ZG,1961,-13.7461350539839
283,Belgium,BEL,NY.GDP.MKTP.KD.ZG,1961,4.97842306319174
284,Benin,BEN,NY.GDP.MKTP.KD.ZG,1961,3.14128045641213
285,Burkina Faso,BFA,NY.GDP.MKTP.KD.ZG,1961,4.04392797754925
286,Bangladesh,BGD,NY.GDP.MKTP.KD.ZG,1961,6.05816082548128
287,Bulgaria,BGR,NY.GDP.MKTP.KD.ZG,1961,
288,Bahrain,BHR,NY.GDP.MKTP.KD.ZG,1961,
289,"Bahamas, The",BHS,NY.GDP.MKTP.KD.ZG,1961,10.6670974251373
290,Bosnia and Herzegovina,BIH,NY.GDP.MKTP.KD.ZG,1961,
291,Belarus,BLR,NY.GDP.MKTP.KD.ZG,1961,
292,Belize,BLZ,NY.GDP.MKTP.KD.ZG,1961,4.89227721902682
293,Bermuda,BMU,NY.GDP.MKTP.KD.ZG,1961,4.67999999890945
294,Bolivia,BOL,NY.GDP.MKTP.KD.ZG,1961,2.08929593570468
295,Brazil,BRA,NY.GDP.MKTP.KD.ZG,1961,8.60000000000014
296,Barbados,BRB,NY.GDP.MKTP.KD.ZG,1961,7.69652979830487
297,Brunei Darussalam,BRN,NY.GDP.MKTP.KD.ZG,1961,
298,Bhutan,BTN,NY.GDP.MKTP.KD.ZG,1961,
299,Botswana,BWA,NY.GDP.MKTP.KD.ZG,1961,6.3432837196721
300,Central African Republic,CAF,NY.GDP.MKTP.KD.ZG,1961,4.95355379797229
301,Canada,CAN,NY.GDP.MKTP.KD.ZG,1961,3.16329168371286
302,Central Europe and the Baltics,CEB,NY.GDP.MKTP.KD.ZG,1961,
303,Switzerland,CHE,NY.GDP.MKTP.KD.ZG,1961,8.10867221090605
304,Channel Islands,CHI,NY.GDP.MKTP.KD.ZG,1961,
305,Chile,CHL,NY.GDP.MKTP.KD.ZG,1961,5.24527188445649
306,China,CHN,NY.GDP.MKTP.KD.ZG,1961,-27.2700000039227
307,Cote d'Ivoire,CIV,NY.GDP.MKTP.KD.ZG,1961,9.93255515611813
308,Cameroon,CMR,NY.GDP.MKTP.KD.ZG,1961,1.18368081101198
309,"Congo, Dem. Rep.",COD,NY.GDP.MKTP.KD.ZG,1961,-10.8513760836337
310,"Congo, Rep.",COG,NY.GDP.MKTP.KD.ZG,1961,8.35072672427799
311,Colombia,COL,NY.GDP.MKTP.KD.ZG,1961,5.08921698439107
312,Comoros,COM,NY.GDP.MKTP.KD.ZG,1961,
313,Cabo Verde,CPV,NY.GDP.MKTP.KD.ZG,1961,
314,Costa Rica,CRI,NY.GDP.MKTP.KD.ZG,1961,1.8792765563641
315,Caribbean small states,CSS,NY.GDP.MKTP.KD.ZG,1961,7.376455380248
316,Cuba,CUB,NY.GDP.MKTP.KD.ZG,1961,
317,Curacao,CUW,NY.GDP.MKTP.KD.ZG,1961,
318,Cayman Islands,CYM,NY.GDP.MKTP.KD.ZG,1961,
319,Cyprus,CYP,NY.GDP.MKTP.KD.ZG,1961,
320,Czechia,CZE,NY.GDP.MKTP.KD.ZG,1961,
321,Germany,DEU,NY.GDP.MKTP.KD.ZG,1961,4.29843956416363
322,Djibouti,DJI,NY.GDP.MKTP.KD.ZG,1961,
323,Dominica,DMA,NY.GDP.MKTP.KD.ZG,1961,
324,Denmark,DNK,NY.GDP.MKTP.KD.ZG,1961,6.37883247557384
325,Dominican Republic,DOM,NY.GDP.MKTP.KD.ZG,1961,-2.31324874995225
326,Algeria,DZA,NY.GDP.MKTP.KD.ZG,1961,-13.605441324599
327,East Asia & Pacific (excluding high income),EAP,NY.GDP.MKTP.KD.ZG,1961,-13.3282852333271
328,Early-demographic dividend,EAR,NY.GDP.MKTP.KD.ZG,1961,4.77671789203278
329,East Asia & Pacific,EAS,NY.GDP.MKTP.KD.ZG,1961,3.83727745350339
330,Europe & Central Asia (excluding high income),ECA,NY.GDP.MKTP.KD.ZG,1961,
331,Europe & Central Asia,ECS,NY.GDP.MKTP.KD.ZG,1961,5.20013015382972
332,Ecuador,ECU,NY.GDP.MKTP.KD.ZG,1961,5.12441487941221
333,"Egypt, Arab Rep.",EGY,NY.GDP.MKTP.KD.ZG,1961,5.1611141431878
334,Euro area,EMU,NY.GDP.MKTP.KD.ZG,1961,5.74716909918152
335,Eritrea,ERI,NY.GDP.MKTP.KD.ZG,1961,
336,Spain,ESP,NY.GDP.MKTP.KD.ZG,1961,11.8386741948327
337,Estonia,EST,NY.GDP.MKTP.KD.ZG,1961,
338,Ethiopia,ETH,NY.GDP.MKTP.KD.ZG,1961,
339,European Union,EUU,NY.GDP.MKTP.KD.ZG,1961,5.75505606271065
340,Fragile and conflict affected situations,FCS,NY.GDP.MKTP.KD.ZG,1961,-0.185167849939262
341,Finland,FIN,NY.GDP.MKTP.KD.ZG,1961,7.60467047924405
342,Fiji,FJI,NY.GDP.MKTP.KD.ZG,1961,3.51758200278962
343,France,FRA,NY.GDP.MKTP.KD.ZG,1961,4.98011185019882
344,Faroe Islands,FRO,NY.GDP.MKTP.KD.ZG,1961,
345,"Micronesia, Fed. Sts.",FSM,NY.GDP.MKTP.KD.ZG,1961,
346,Gabon,GAB,NY.GDP.MKTP.KD.ZG,1961,14.7668431868332
347,United Kingdom,GBR,NY.GDP.MKTP.KD.ZG,1961,2.70131423677384
348,Georgia,GEO,NY.GDP.MKTP.KD.ZG,1961,
349,Ghana,GHA,NY.GDP.MKTP.KD.ZG,1961,3.42967401462874
350,Gibraltar,GIB,NY.GDP.MKTP.KD.ZG,1961,
351,Guinea,GIN,NY.GDP.MKTP.KD.ZG,1961,
352,"Gambia, The",GMB,NY.GDP.MKTP.KD.ZG,1961,
353,Guinea-Bissau,GNB,NY.GDP.MKTP.KD.ZG,1961,
354,Equatorial Guinea,GNQ,NY.GDP.MKTP.KD.ZG,1961,
355,Greece,GRC,NY.GDP.MKTP.KD.ZG,1961,13.2038408136757
356,Grenada,GRD,NY.GDP.MKTP.KD.ZG,1961,
357,Greenland,GRL,NY.GDP.MKTP.KD.ZG,1961,
358,Guatemala,GTM,NY.GDP.MKTP.KD.ZG,1961,4.29851834874688
359,Guam,GUM,NY.GDP.MKTP.KD.ZG,1961,
360,Guyana,GUY,NY.GDP.MKTP.KD.ZG,1961,4.68952431164918
361,High income,HIC,NY.GDP.MKTP.KD.ZG,1961,4.47006651557626
362,"Hong Kong SAR, China",HKG,NY.GDP.MKTP.KD.ZG,1961,
363,Honduras,HND,NY.GDP.MKTP.KD.ZG,1961,1.85565932082044
364,Heavily indebted poor countries (HIPC),HPC,NY.GDP.MKTP.KD.ZG,1961,-0.1653200959923
365,Croatia,HRV,NY.GDP.MKTP.KD.ZG,1961,
366,Haiti,HTI,NY.GDP.MKTP.KD.ZG,1961,-2.93198029126782
367,Hungary,HUN,NY.GDP.MKTP.KD.ZG,1961,4.70000000000019
368,IBRD only,IBD,NY.GDP.MKTP.KD.ZG,1961,1.16632643816087
369,IDA & IBRD total,IBT,NY.GDP.MKTP.KD.ZG,1961,1.16807088401801
370,IDA total,IDA,NY.GDP.MKTP.KD.ZG,1961,1.17794202733799
371,IDA blend,IDB,NY.GDP.MKTP.KD.ZG,1961,1.36147497102822
372,Indonesia,IDN,NY.GDP.MKTP.KD.ZG,1961,5.74064582274347
373,IDA only,IDX,NY.GDP.MKTP.KD.ZG,1961,
374,Isle of Man,IMN,NY.GDP.MKTP.KD.ZG,1961,
